File	Column 1	Column 2
dialjournallitcrit16chicrich.tsv	151-155 Fifth Ave.	LOCATION
dialjournallitcrit17chicrich.tsv	1876 Japan	LOCATION
dialjournallitcrit15chicrich.tsv	2523 Grand Blvd.	LOCATION
dialjournallitcrit18chicrich.tsv	4th Avenue	LOCATION
dialjournallitcrit15chicrich.tsv	A.B.	LOCATION
dialjournallitcrit15chicrich.tsv	A.B. Baltimore	LOCATION
dialjournallitcrit18chicrich.tsv	A.B. Boston	LOCATION
dialjournallitcrit16chicrich.tsv	A.D.	LOCATION
dialjournallitcrit15chicrich.tsv	A.M.	LOCATION
dialjournallitcrit15chicrich.tsv	A.M. Illus.	LOCATION
dialjournallitcrit15chicrich.tsv	A.M. New York	LOCATION
dialjournallitcrit16chicrich.tsv	Abbey	LOCATION
dialjournallitcrit15chicrich.tsv	Abbotsford	LOCATION
dialjournallitcrit17chicrich.tsv	Abbottabad	LOCATION
dialjournallitcrit15chicrich.tsv	Aberdeen	LOCATION
dialjournallitcrit19chicrich.tsv	Aberdeenshire	LOCATION
dialjournallitcrit15chicrich.tsv	Abner Beech	LOCATION
dialjournallitcrit16chicrich.tsv	Abraham	LOCATION
dialjournallitcrit15chicrich.tsv	Abyssinia	LOCATION
dialjournallitcrit16chicrich.tsv	Academe	LOCATION
dialjournallitcrit17chicrich.tsv	Academia Espanola	LOCATION
dialjournallitcrit17chicrich.tsv	Academy	LOCATION
dialjournallitcrit19chicrich.tsv	Acadia	LOCATION
dialjournallitcrit17chicrich.tsv	Accidence	LOCATION
dialjournallitcrit16chicrich.tsv	Acropolis	LOCATION
dialjournallitcrit16chicrich.tsv	Across Austra	LOCATION
dialjournallitcrit15chicrich.tsv	Actium	LOCATION
dialjournallitcrit16chicrich.tsv	Acton	LOCATION
dialjournallitcrit15chicrich.tsv	Addams	LOCATION
dialjournallitcrit16chicrich.tsv	Addi	LOCATION
dialjournallitcrit17chicrich.tsv	Adelaide	LOCATION
dialjournallitcrit18chicrich.tsv	Adelaide Neilson	LOCATION
dialjournallitcrit16chicrich.tsv	Adelbert	LOCATION
dialjournallitcrit17chicrich.tsv	Adirondacks	LOCATION
dialjournallitcrit15chicrich.tsv	Adjoin	LOCATION
dialjournallitcrit16chicrich.tsv	Administra	LOCATION
dialjournallitcrit16chicrich.tsv	Adolf	LOCATION
dialjournallitcrit15chicrich.tsv	Adolph	LOCATION
dialjournallitcrit17chicrich.tsv	Adrian	LOCATION
dialjournallitcrit15chicrich.tsv	Adriatic	LOCATION
dialjournallitcrit16chicrich.tsv	Aegina	LOCATION
dialjournallitcrit18chicrich.tsv	Afghanistan	LOCATION
dialjournallitcrit15chicrich.tsv	Africa	LOCATION
dialjournallitcrit16chicrich.tsv	Africans	LOCATION
dialjournallitcrit19chicrich.tsv	Agathocles	LOCATION
dialjournallitcrit15chicrich.tsv	Agrimony	LOCATION
dialjournallitcrit15chicrich.tsv	Agrippina	LOCATION
dialjournallitcrit17chicrich.tsv	Ahem	LOCATION
dialjournallitcrit16chicrich.tsv	Aix	LOCATION
dialjournallitcrit17chicrich.tsv	Aix Eoland	LOCATION
dialjournallitcrit19chicrich.tsv	Akbar	LOCATION
dialjournallitcrit15chicrich.tsv	Aksum	LOCATION
dialjournallitcrit15chicrich.tsv	Alabama	LOCATION
dialjournallitcrit15chicrich.tsv	Alamo	LOCATION
dialjournallitcrit15chicrich.tsv	Alaska	LOCATION
dialjournallitcrit15chicrich.tsv	Albany	LOCATION
dialjournallitcrit15chicrich.tsv	Albany Argus	LOCATION
dialjournallitcrit19chicrich.tsv	Alberta	LOCATION
dialjournallitcrit17chicrich.tsv	Alcott	LOCATION
dialjournallitcrit18chicrich.tsv	Alethea	LOCATION
dialjournallitcrit15chicrich.tsv	Alexandria	LOCATION
dialjournallitcrit18chicrich.tsv	Alfred	LOCATION
dialjournallitcrit17chicrich.tsv	Algebra	LOCATION
dialjournallitcrit17chicrich.tsv	Algeria	LOCATION
dialjournallitcrit15chicrich.tsv	Algiers	LOCATION
dialjournallitcrit15chicrich.tsv	Alhambra	LOCATION
dialjournallitcrit15chicrich.tsv	Ali Baba	LOCATION
dialjournallitcrit17chicrich.tsv	Alicante	LOCATION
dialjournallitcrit15chicrich.tsv	Aligarh	LOCATION
dialjournallitcrit16chicrich.tsv	Allahabad	LOCATION
dialjournallitcrit19chicrich.tsv	All Baba	LOCATION
dialjournallitcrit16chicrich.tsv	Alleghenies	LOCATION
dialjournallitcrit16chicrich.tsv	Allegheny Mountains	LOCATION
dialjournallitcrit18chicrich.tsv	Allouma	LOCATION
dialjournallitcrit17chicrich.tsv	Alpine	LOCATION
dialjournallitcrit18chicrich.tsv	Alsace	LOCATION
dialjournallitcrit16chicrich.tsv	Altruria	LOCATION
dialjournallitcrit15chicrich.tsv	Amand	LOCATION
dialjournallitcrit15chicrich.tsv	Amazon	LOCATION
dialjournallitcrit17chicrich.tsv	Amazonia	LOCATION
dialjournallitcrit16chicrich.tsv	Amelia	LOCATION
dialjournallitcrit15chicrich.tsv	Ameri	LOCATION
dialjournallitcrit15chicrich.tsv	America	LOCATION
dialjournallitcrit17chicrich.tsv	America Lincoln	LOCATION
dialjournallitcrit15chicrich.tsv	American States	LOCATION
dialjournallitcrit16chicrich.tsv	Americas	LOCATION
dialjournallitcrit16chicrich.tsv	Amerika	LOCATION
dialjournallitcrit17chicrich.tsv	Ames	LOCATION
dialjournallitcrit17chicrich.tsv	Amesbury	LOCATION
dialjournallitcrit16chicrich.tsv	Amherst	LOCATION
dialjournallitcrit16chicrich.tsv	Amherst College	LOCATION
dialjournallitcrit17chicrich.tsv	Amiel	LOCATION
dialjournallitcrit18chicrich.tsv	Amigo	LOCATION
dialjournallitcrit17chicrich.tsv	Amiternum	LOCATION
dialjournallitcrit19chicrich.tsv	Amphi	LOCATION
dialjournallitcrit15chicrich.tsv	Amster	LOCATION
dialjournallitcrit16chicrich.tsv	Amsterdam	LOCATION
dialjournallitcrit18chicrich.tsv	Amygdala	LOCATION
dialjournallitcrit19chicrich.tsv	Anacosta	LOCATION
dialjournallitcrit17chicrich.tsv	Anacreon	LOCATION
dialjournallitcrit15chicrich.tsv	Anatole	LOCATION
dialjournallitcrit15chicrich.tsv	Ancient Egypt	LOCATION
dialjournallitcrit15chicrich.tsv	Ancient India	LOCATION
dialjournallitcrit15chicrich.tsv	Andersen	LOCATION
dialjournallitcrit15chicrich.tsv	Andover	LOCATION
dialjournallitcrit18chicrich.tsv	Andros	LOCATION
dialjournallitcrit15chicrich.tsv	Angevin England	LOCATION
dialjournallitcrit16chicrich.tsv	Angola	LOCATION
dialjournallitcrit15chicrich.tsv	Angouleme	LOCATION
dialjournallitcrit16chicrich.tsv	Anjou	LOCATION
dialjournallitcrit16chicrich.tsv	Annapolis	LOCATION
dialjournallitcrit17chicrich.tsv	Ann Arbor	LOCATION
dialjournallitcrit17chicrich.tsv	Annunciation	LOCATION
dialjournallitcrit15chicrich.tsv	Anodonta	LOCATION
dialjournallitcrit17chicrich.tsv	Antarctica	LOCATION
dialjournallitcrit17chicrich.tsv	Antartic	LOCATION
dialjournallitcrit18chicrich.tsv	Anthropo	LOCATION
dialjournallitcrit18chicrich.tsv	Antibes	LOCATION
dialjournallitcrit19chicrich.tsv	Antietam	LOCATION
dialjournallitcrit19chicrich.tsv	Antigua	LOCATION
dialjournallitcrit19chicrich.tsv	Antioch	LOCATION
dialjournallitcrit16chicrich.tsv	Antisthenes	LOCATION
dialjournallitcrit17chicrich.tsv	Antonia	LOCATION
dialjournallitcrit15chicrich.tsv	Antonio	LOCATION
dialjournallitcrit15chicrich.tsv	Antwerp	LOCATION
dialjournallitcrit19chicrich.tsv	Anvers	LOCATION
dialjournallitcrit19chicrich.tsv	Apia	LOCATION
dialjournallitcrit15chicrich.tsv	Apocalypse	LOCATION
dialjournallitcrit16chicrich.tsv	Apocryphas	LOCATION
dialjournallitcrit19chicrich.tsv	Appenzell	LOCATION
dialjournallitcrit16chicrich.tsv	Appledore	LOCATION
dialjournallitcrit15chicrich.tsv	Appleton	LOCATION
dialjournallitcrit19chicrich.tsv	Appomattox	LOCATION
dialjournallitcrit16chicrich.tsv	Aquilia	LOCATION
dialjournallitcrit16chicrich.tsv	Aquitania	LOCATION
dialjournallitcrit17chicrich.tsv	Arabella	LOCATION
dialjournallitcrit16chicrich.tsv	Arabia	LOCATION
dialjournallitcrit15chicrich.tsv	Arcadia	LOCATION
dialjournallitcrit15chicrich.tsv	Arcady	LOCATION
dialjournallitcrit17chicrich.tsv	Archaic Commu	LOCATION
dialjournallitcrit19chicrich.tsv	Archipelago	LOCATION
dialjournallitcrit19chicrich.tsv	Arctic Europe	LOCATION
dialjournallitcrit15chicrich.tsv	Arezzo	LOCATION
dialjournallitcrit16chicrich.tsv	Argos	LOCATION
dialjournallitcrit18chicrich.tsv	Ariosto	LOCATION
dialjournallitcrit15chicrich.tsv	Aristotle	LOCATION
dialjournallitcrit17chicrich.tsv	Arithmetic	LOCATION
dialjournallitcrit15chicrich.tsv	Arizona	LOCATION
dialjournallitcrit16chicrich.tsv	Ark.	LOCATION
dialjournallitcrit15chicrich.tsv	Arkansas	LOCATION
dialjournallitcrit17chicrich.tsv	Arlington	LOCATION
dialjournallitcrit18chicrich.tsv	Armenia	LOCATION
dialjournallitcrit15chicrich.tsv	Arnold	LOCATION
dialjournallitcrit19chicrich.tsv	Arnold Arnold	LOCATION
dialjournallitcrit17chicrich.tsv	Arpinum	LOCATION
dialjournallitcrit18chicrich.tsv	Arras	LOCATION
dialjournallitcrit16chicrich.tsv	Artibvs Ovid	LOCATION
dialjournallitcrit15chicrich.tsv	Asa Gray	LOCATION
dialjournallitcrit16chicrich.tsv	Asaknsa	LOCATION
dialjournallitcrit16chicrich.tsv	Ascham	LOCATION
dialjournallitcrit15chicrich.tsv	Asheville	LOCATION
dialjournallitcrit15chicrich.tsv	Asheyille	LOCATION
dialjournallitcrit17chicrich.tsv	Ashfield	LOCATION
dialjournallitcrit16chicrich.tsv	Ashikaga	LOCATION
dialjournallitcrit15chicrich.tsv	Ashley	LOCATION
dialjournallitcrit19chicrich.tsv	Ashmore	LOCATION
dialjournallitcrit16chicrich.tsv	Ashwood	LOCATION
dialjournallitcrit15chicrich.tsv	Asia	LOCATION
dialjournallitcrit17chicrich.tsv	Askole	LOCATION
dialjournallitcrit17chicrich.tsv	Asolando	LOCATION
