		From the collection of the Z n m o
Prelinger	PERSON	i a XJibrary
San Francisco	LOCATION	,
California	LOCATION	2006 1345 is . '

		-
1353	DATE	4 - ' J \ J ^ LIBRARY ESTABLISHED 1 72 LAWRENCE ,
IW	ORGANIZATION	^ So .

		DIAL Semi-Monthly Journal of Literary Criticism , Discussion , and Information .

		VOLUME XV .

		JULY i TO
DECEMBER 16 , 1892	DATE	.

		CHICAGO : THE DIAL COMPANY , PUBLISHERS .

		1893 .

		INDEX TO VOL .

		XV .

		AMERICAN ARCHAEOLOGIST , AN , AND HIS WORK ...
Arthur Howard Noll	PERSON	389 AMERICAN COPYRIGHT , A FRENCH VIEW OF 136 AMERICAN HISTORY FROM AN ENGLISH STANDPOINT 181 AMERICAN NATURALIST , LIFE AND LETTERS OF AN 333 AMERICAN PUBLIC SCHOOLS
G. T. W. Patrick	PERSON	293 ANONYMITY IN LITERARY CRITICISM 249 ART AND LIFE ONCE MORE
John Burroughs	PERSON	287 AUSTRALIAN BUILDER , AN
John J. Halsey	PERSON	114 BOOK-HUNTERS AND THEIR VAGARIES W. Irving Way 296 BOOKS FOR THE YOUNG 348 , 399 BOOKS OF THE FALL OF
1893	DATE	135 CHURCH HISTORY RE-EDITED
Arthur Howard Noll	PERSON	36 CONGRESSES , THE AUXILIARY 59 , 251 CONGRESSES , THE AUTHORS ' 27 CONGRESSES , THE AUGUST 107 CONGRESSES , THE EDUCATION 81 CONGRESSES , THE LITERATURE 5 CONTINENTAL LITERATURE , A YEAR OF 55 EBERS 'S AUTOBIOGRAPHY 87 ECONOMIC AND SOCIAL SCIENCE , RECENT TENDENCIES IN
Edward W. Semis	PERSON	260 ECONOMIC AND STATISTICAL STUDIES AT
CHICAGO	LOCATION	.

		.


J. J. Halsey	PERSON	175 ENDOWMENTS OF CULTURE IN
CHICAGO	LOCATION	285 ENGLISH PROSE LITERATURE
Oliver Farrar Emerson	PERSON	... 116 ESSAYS IN IDLENESS , Miss REPPLIER 'S
Edward E. Hale	PERSON	, Jr 225 EVOLUTIONIST 'S ALARM , AN
Paul Shorey	PERSON	66 FICTION , RECENT BOOKS OF
William Morton Payne	PERSON	.

		.92 , 226 , 340
GALTON	PERSON	, FRANCIS , THE WORKS AND WORK OF ...
Frederick Starr	PERSON	12
GOSSE	PERSON	'S PUZZLE OVER POE
John Burroughs	PERSON	214 `` HERO OF NEW ORLEANS '' AND `` OLD ROUGH AND READY ''
Henry W. Thurston	PERSON	39 HOLIDAY PUBLICATIONS 344 , 395 HOMERIC QUESTION ONCE MORE , THE
Paul Shorey	PERSON	15 IBSEN 'S TREATMENT OF SELF-ILLUSION
Hjalmar H. Boyesen	PERSON	137
INDIA	LOCATION	, THREE NEW BOOKS ON 110 INSULAR COMMENT ON AN INTERNATIONAL ENTERPRISE 329 IRVING 'S SHYLOCK .


Anna B. McMahan	PERSON	215 IRVING 'S VIEWS ON THE MODERN DRAMA ...
Elwyn A. Barron	PERSON	90 JOAN OF ARC , THE STORY OF Octave Thanet ... ; 67
JOWETT	PERSON	, BENJAMIN 213 KASHMIR AND WESTERN TIBET LIFE WORTH LIVING , A
William Morton Payne	PERSON	... 189 LINCOLN : A CHARACTER STUDY
John J. Halsey	PERSON	263 LITERARY TRIBUTES TO THE WORLD 'S FAIR 176 LITERARY WEST , THE 173 LOWELL 'S LETTERS 291 MASTER OF BALLIOL , PRESS TRIBUTES TO THE 253 MIDWAY REVIEW , A 105 NEW WITCHCRAFT , THE
Joseph Jastrow	PERSON	113 IV .

		INDEX .

		79 NEWSPAPER SYMPOSIUM , A ** OLD HOPE IN A NEW LIGHT , AN
William Morton Payne	PERSON	OLD-TIME DAYS IN
NEW ENGLAND PARKMAN	LOCATION	, FRANCIS ' POETRY , RECENT BOOKS OF
William Morton Payne	PERSON	.

		40 , POLITICAL ECONOMY , A NEW HISTORY OF ... 0 .

		L. Elliott 336 PUBLIC LIBRARIES OF THE UNITED STATES 327 QSft RADCLIFFE COLLEGE '' RAILWAY FINANCE , PROBLEMS OF ... .

		.


A. C. Miller	PERSON	` RECOLLECTIONS OF A HAPPY LlFE , '' MORE 64 RECONCILIATION OF HISTORY AND RELIGION IN CRITICISM
John Bascom	PERSON	146 REPUBLIC OF
TEXAS	LOCATION	, THE , AND ITS PRESIDENT 257 ROMANCE , THE PERSISTENCE OF THE
Richard Burton	PERSON	380
RUSSIA	LOCATION	AND THE RUSSIANS , AS SEEN THROUGH FRIENDLY EYES * ...
Rasmus B. Anderson	PERSON	222 SALVINI 'S AUTOBIOGRAPHY
James B. Runnion	PERSON	298 SCOTT 'S LETTERS 384 SOCIAL SPIRIT IN
AMERICA	LOCATION	, THE
Joseph Henry Crooker	PERSON	17 SPENCER ON THE PRINCIPLES OF BENEFICENCE ...
Paul Shorey	PERSON	387 SUMNER , CHARLES , THE PUBLIC CAREER OF ...
William Henry Smith	PERSON	33 TARIFF ON BOOKS , THE 330 TRANS-SIBERIAN SAVAGES , LIFE WITH
Frederick Starr	PERSON	338 TYNDALL , JOHN 377 TYNDALL , JOHN , BIOGRAPHY AND BIBLIOGRAPHY OF 379 UNITY OF FAITH , THE
John Bascom	PERSON	392 VEHICLE OF HEREDITY , THE
Henry L. Osborn	PERSON	143 WHITMANIANA ...
William Morton Payne	PERSON	390 WRITER AND HIS HIRE , THE 211 POETRY .

		BALLADE TO A
