		From the collection of the z _ m
Prelinger	PERSON	f \ v JJibrary
San Francisco	LOCATION	,
California	LOCATION	2006 THE DIAL c/7 Semi-Monthly Journal of Literary Criticism , Discussion , and
Information Public Library	ORGANIZATION	, VOLUME XXVII .

		JULY 1 TO
DECEMBER 16 , 1899	DATE	CHICAGO : THE DIAL COMPANY , PUBLISHERS 1899 INDEX TO VOLUME XXVII .

		ACCAWMACKE TO
ApPOMATTOX	LOCATION	... ...
Francis Wat/land Shepardson	PERSON	.

		418
ALASKA	LOCATION	, LATE BOOKS OK ... ... .

		.


Hiram M. Stanley	PERSON	... 72 AMERICAN CITIZEN , MEMOIRS OF AN ... ... ... ... 269 ` AMERICAN TALKS '' BY A LITERARY VETERAN ... ... ... ir.s ARNOLD , MATTHEW , '' PASSING `` OF ... ... W. H .

		Johnson ... ART , VALUE OF HISTORY OF ... ... .


Edward K. Hale	PERSON	, Jr. ... 421 AUSTRALIAN WILDS , IN ... ... .

		.


Ira	ORGANIZATION	M. Price ... .

		126 BOOKS FOR THE YOUNO ,
1899	DATE	... ... ... ... 432 , 500 BOOKS OF THE FALL SEASON OF
1899	DATE	... ... ... ... 163
BRITAIN	LOCATION	AND THE BOERS ... ... .

		.

		Wallace Rice ... .

		237 BYRON , THE NEW ... ... ...
Melville B. Anderson	PERSON	... 420 CHERBULIEZ , VICTOR ... ... ... ... ... 39
CHICAGO	LOCATION	SCHOOLS ... ... ... ... ... .

		9 CIVIL WAR , HEART OF THE ... ... .


Francis Wayland Shepardson	PERSON	.

		312 COLONIAL ARCHITECTURE , STUDIES IN ... ...
Dwight H. Perkins	PERSON	... 97 COMMERCE , CONGRESSIONAL REGULATION OF ... .


James Oscar Pierce	PERSON	... 98 CONFEDERACY , A FIGHTER FOR THE ... ... ... ... 231 CONSTITUTION , NATIONAL , THEORIES OF THE ...
James Oscar Pierce	PERSON	... 233 CONTINENTAL LITERATURE , A YEAR OF ... ... ... .

		.

		65 , 87
CUBA	LOCATION	, AGAIN THE CASE OF ... ... .

		Sclim H. Peabody ... 128 DANTON AS MAN AND LEADER ... ...
Henry E. Bourne	PERSON	... 70 EDUCATIONAL LITERATURE , LATE CONTRIBUTIONS TO ...
B. A. Hinsdale	PERSON	... 275
EGYPT	LOCATION	OF TO-DAY ... ... ...
Shailer Mathews	PERSON	.

		... 488 ENGLISH DRAMA , HISTORY OF THE ... ...
Richard Burton	PERSON	... 120 ENGLISH GRAMMAR , AN ORIGINAL ... ...
Edward A. Allen	PERSON	... 272 ENGLISH IN
GERMANY	LOCATION	, STUDY OF ... ... E. I. Antrim ... .

		268 EPIC QUESTION , THE ENDLESS ... ...
Albert H. Tolman	PERSON	... 94 ETHICS , A QUESTION OF ... ... ... ... ... 479 FICTION , RECENT ... ... ... Wm.
Morton Payne	PERSON	17 , 73 , 174 , 490 FISKE 'S DUTCH AND QUAKER COLONIES ... .

		.

		B. A.
Hinsdale	LOCATION	... 357 FRENCH POETRY AND ENGLISH ... ... ... ... .

		227 GAMES , ORIGIN OF ... ... ...
Frederick Starr	PERSON	... 123 GARDENING , GENTLE ART OF ... ... .

		Wallace Rice ... .

		16 GOETHE IN
STRASSBURG	LOCATION	... ... ...
James Taft Hatfield	PERSON	... 113 GREEK LITERATURE , RELIGION IN ... ...
Paul Shorey	PERSON	... .

		170 HALE ,
EDWARD EVERETT	PERSON	, COLLECTED WRITINGS OF ...
Richard Burton	PERSON	... 46
HAWAII	LOCATION	, VARIOUS ASPECTS OF ... ...
