		Digitized by tine Internet Arciiive in
2007	DATE	with funding from IVIicrosoft Corporation littp : / / www.arcliive.org/details/dialliterarycrit33browricli ^ ^ .

		tUr y ^ / dw THE DIAL c/1 Semi-Montbly Journal of Literary Criticism , Discussion , and Information VOLUME XXXlll .


July 1	DATE	to
December 16 , 1902	DATE	CHICAGO THE DIAL COMPANY , PUBLISHERS
1902	DATE	INDEX TO VOLUME XXXIII .

		PAGE Actor and the Man
Edith Baker Brown	PERSON	... 153 Aftermath , A
Notewoethy Percy F. Bicknell	PERSON	... 387 Alexander the Great 27
American Exploration	ORGANIZATION	, An Epic of
James Oscar Pierce	PERSON	... 461
American History	ORGANIZATION	.

		A
Bibliography of F. H. Hodder 212 American Letters	ORGANIZATION	, The Dean of
Edward E. Hale	PERSON	, Jr. ... 323
American People	ORGANIZATION	, A New History of the
Francis Wayland Shepardson	PERSON	.

		393
American Stage	ORGANIZATION	.

		Recollections of the
Ingram A. Pyle	PERSON	58 American Themes , Essays on
Franklin H. Head	PERSON	... 37 Beasts , Birds , and Fishes
Charles Atwood Kofoid	PERSON	.

		.

		240
Besant	PERSON	,
Sir Walter	PERSON	, Autobiography of
William Morton Payne	PERSON	.

		.

		6
Blank Verse	ORGANIZATION	, The Lost Art of
Charlet Leonard Moore	PERSON	.

		317 Books for the
Young	ORGANIZATION	.

		1902 403 , 477 Books of the
Fall Season	ORGANIZATION	of
1902	DATE	151
Browning	PERSON	's Poetry ,
The Latest Critic of Annie Riissell Marble ... 395 City Government	ORGANIZATION	.

		The Business of Max West 162 Civil War and Reconstruction .

		Constitutional Phases of
James Oscar Pierce	PERSON	.

		■ ■ ■ 157 Civil War .

		Lights and Shadows of the
James Oscar Pierce	PERSON	... 239 Contemporary , Comments of a
Percy F. Bicknell	PERSON	... 30 Contestants for a Continent .

		Two Rival
Francis Wayland Shepardson	PERSON	.

		206
Continental Literature	ORGANIZATION	.

		A Year of 49 , 109 Courtier , The Book of the
Mary Augiista Scott	PERSON	... 389 CusHiNG AND HIS WoRK AMONG THE ZuNi INDIANS ...
Frederick Starr	PERSON	118 Development and Evolution
T. D. A. Cockerell	PERSON	... 278 Dramatizations , As to
Paul WUstach 5 Dumas	PERSON	, A
Boswell	PERSON	for
Ingram A. Pyle 274 Education	ORGANIZATION	, Some Recent Books on
Henry Davidson Sheldon	PERSON	.

		.

		94 Education .

		The
Elective Board of Duane Mowry 82 Educational Progress	ORGANIZATION	.

		A Year of 79 English Authors , Three
William Morton Payne	PERSON	.

		.

		156 Enterprise .

		A
Noblk 315 Fiction	ORGANIZATION	.

		Recent
William Morton Payne	PERSON	60 , 242 , 326
France	LOCATION	.

		Seventeenth-Century , A View of
Percy F. Bicknell	PERSON	... 458 Garden Books .

		Two Good
Alice Morse Earle	PERSON	... 32
Germany	LOCATION	, A Short History of
Lewis A. Rhoades	PERSON	... 11 History and Jurisprudence .

		Bryces Essays on ...
A. M. Wergeland	PERSON	... 33
Holiday Publications	ORGANIZATION	,
1902	DATE	397,470 Lace , The History and Mystery of May
Estelle Cook	PERSON	... 13 Lands New and Old
Charles Atwood Kofoid	PERSON	.

		.

		467 Literary Cosmopolitanism 201
Louisiana Purchase	LOCATION	.

		Books on the
F. H. Hodder 35 Loyalist Family	ORGANIZATION	.

		Correspondence of a
Edith Granger	PERSON	160 Morality and the
Religious Life Frank Chapman Sharp	ORGANIZATION	.

		.

		282 Music and Culture 455 Musical Intimacies , Some
Wallace Rice	ORGANIZATION	210
Napoleon	PERSON	and the
Peace of Amiens E. D. Adams 238 Nature Poetry	ORGANIZATION	.

		The Growth and Mission of ... .


Annie Russell Marble ... 271 Nineteenth Century	ORGANIZATION	in Review ,
The Wallace Rice 113 Novels	ORGANIZATION	.

		Notes on 64 , 329 Octogenarian .

		Reminiscences of an
Percy F. Bicknell	PERSON	... 205
Persia	LOCATION	.

		Life and I ravel in
Ira	ORGANIZATION	M. Price 163 PoE , The ''
Virginia	LOCATION	''
William Morton Payne	PERSON	.

		.

		277 INDEX .

		III .

		PoETKT ,
The CcTKREvr Nbglkct of H. W. BoyrUon Rack	ORGANIZATION	.

		Mb .

		Brtce ox the
Psoblkms of KeUy Miller Religious Expkriencks	ORGANIZATION	.

		Vaeibttks of
T. D. A. CoekereU ... Remixiscences of Twenty Teaks Percy F. Bieknell	ORGANIZATION	... Retbospect , a Cextuby s
Percy F. Bieknell	PERSON	... Revolutiox .

		The Laureate of the
Clark S. Northup	PERSON	...
Rocky Mouxtaix Birds	ORGANIZATION	.

		A. Book of
Sara A. Hubbard	PERSON	... `` RoMAX Sexatob .

		The Ideal ''
W. H. Johnson	PERSON	RussiAX Pbisoxs .

		Ax Amebicax Physiciajt vs ... C
H. Cooper Rdssias	PERSON	, a View of All the
John J. Culver Scotch	ORGANIZATION	and Irish in
America	LOCATION
Francis Wayland Shepardson	PERSON	.

		Social Rklatioxs , The Basis of
Frank W. Blackmar	PERSON	... Social Saxvatiox , The Way to T D .

		A CoekereU ... Spexcers Wbitixgs , The Latest and Last of ... .


Wallace Biee Table	ORGANIZATION	, Pleasures of the
Alice Morte SarU ... Thoreau	ORGANIZATION	.

		An Old axd a New Estimate of
Edith Kellogg Dunton	PERSON	... Three Score axd
Ten Tbatelleb	LOCATION	, Chronicles of a Famous Wallace Rice ''
Virginia	LOCATION	.

		The Rending of ''
James M. Gumett ... Webster	PERSON	in his Public Life
Charles H. Cooper	PERSON	...
Woodbridge Philosopher	PERSON	, The
Percy F. Bieknell	PERSON	... Wood Engravers .

		The Greatest of
Frederick W. Gookin	PERSON	...
Yale BiCentesxial	ORGANIZATION	, The , and
Comparative Philology	ORGANIZATION	.


Gwdo H. Stempel	PERSON	... Zola ,
Emile	PERSON	rASB 385 208 322 54 319 55 236 90 116 234 325 12 119 9 460 464 383 87 91 466 280 392 92 231 Axxouxcements of Fall Books ,
